age,gender,height,weight,activity_level,food_pref,bmi,category
48,Male,193,98,3,Vegan,26.31,Overweight
27,Female,168,83,2,Vegan,29.41,Overweight
62,Male,199,102,4,Veg,25.76,Overweight
58,Male,150,47,1,Non-Veg,20.89,Normal
66,Male,182,82,1,Non-Veg,24.76,Normal
61,Male,181,89,1,Vegan,27.17,Overweight
38,Female,170,119,4,Veg,41.18,Obese
53,Male,168,64,1,Non-Veg,22.68,Normal
64,Male,198,58,3,Vegan,14.79,Underweight
18,Male,152,60,3,Veg,25.97,Overweight
28,Female,159,60,4,Non-Veg,23.73,Normal
29,Female,177,52,2,Non-Veg,16.6,Underweight
25,Female,199,72,4,Veg,18.18,Underweight
58,Female,176,107,1,Veg,34.54,Obese
50,Male,169,73,1,Non-Veg,25.56,Overweight
52,Male,155,113,3,Veg,47.03,Obese
19,Female,179,49,3,Veg,15.29,Underweight
18,Female,181,93,3,Veg,28.39,Overweight
43,Male,174,103,3,Veg,34.02,Obese
30,Male,183,45,1,Vegan,13.44,Underweight
23,Female,166,113,3,Veg,41.01,Obese
55,Male,172,97,1,Non-Veg,32.79,Obese
27,Male,166,117,2,Veg,42.46,Obese
68,Male,162,48,2,Veg,18.29,Underweight
66,Female,181,78,4,Vegan,23.81,Normal
25,Male,175,78,2,Non-Veg,25.47,Overweight
20,Male,199,56,1,Non-Veg,14.14,Underweight
61,Male,179,101,1,Vegan,31.52,Obese
64,Male,164,58,2,Vegan,21.56,Normal
68,Male,187,108,4,Non-Veg,30.88,Obese
55,Female,183,74,3,Vegan,22.1,Normal
68,Male,183,96,1,Non-Veg,28.67,Overweight
50,Female,164,74,3,Non-Veg,27.51,Overweight
68,Male,154,73,4,Non-Veg,30.78,Obese
34,Female,166,113,2,Non-Veg,41.01,Obese
19,Male,192,87,4,Vegan,23.6,Normal
68,Male,172,99,4,Vegan,33.46,Obese
28,Female,165,52,4,Veg,19.1,Normal
20,Female,152,71,1,Non-Veg,30.73,Obese
68,Male,170,49,2,Non-Veg,16.96,Underweight
39,Male,155,45,1,Veg,18.73,Normal
29,Female,195,78,1,Non-Veg,20.51,Normal
43,Male,176,117,2,Veg,37.77,Obese
64,Male,171,100,2,Vegan,34.2,Obese
65,Male,166,70,4,Veg,25.4,Overweight
25,Male,184,96,3,Vegan,28.36,Overweight
39,Female,175,72,3,Non-Veg,23.51,Normal
41,Female,194,70,2,Vegan,18.6,Normal
68,Male,152,67,2,Vegan,29.0,Overweight
64,Female,194,62,2,Non-Veg,16.47,Underweight
52,Male,164,108,1,Vegan,40.15,Obese
54,Female,159,83,1,Veg,32.83,Obese
56,Female,175,88,1,Veg,28.73,Overweight
30,Female,174,112,2,Vegan,36.99,Obese
58,Male,167,78,3,Veg,27.97,Overweight
61,Male,191,85,1,Non-Veg,23.3,Normal
69,Female,183,103,4,Vegan,30.76,Obese
62,Female,186,77,1,Non-Veg,22.26,Normal
38,Female,155,48,2,Vegan,19.98,Normal
47,Male,173,99,1,Vegan,33.08,Obese
20,Male,180,84,1,Vegan,25.93,Overweight
23,Female,169,119,4,Vegan,41.67,Obese
23,Female,198,95,2,Veg,24.23,Normal
19,Male,160,52,2,Vegan,20.31,Normal
62,Female,154,114,2,Non-Veg,48.07,Obese
21,Male,169,64,1,Vegan,22.41,Normal
18,Female,163,108,2,Veg,40.65,Obese
28,Male,185,47,1,Non-Veg,13.73,Underweight
67,Female,159,49,3,Non-Veg,19.38,Normal
61,Female,162,84,2,Veg,32.01,Obese
54,Male,166,53,3,Vegan,19.23,Normal
41,Female,184,93,1,Non-Veg,27.47,Overweight
61,Female,163,119,1,Non-Veg,44.79,Obese
29,Male,184,45,4,Non-Veg,13.29,Underweight
46,Female,160,58,4,Non-Veg,22.66,Normal
52,Male,186,49,3,Vegan,14.16,Underweight
31,Female,153,86,1,Non-Veg,36.74,Obese
57,Female,188,58,4,Vegan,16.41,Underweight
55,Male,172,107,3,Veg,36.17,Obese
42,Male,182,110,2,Veg,33.21,Obese
57,Female,188,95,2,Non-Veg,26.88,Overweight
20,Male,157,86,4,Vegan,34.89,Obese
64,Male,182,71,4,Veg,21.43,Normal
55,Male,182,71,3,Veg,21.43,Normal
21,Female,151,54,1,Vegan,23.68,Normal
27,Male,187,57,3,Vegan,16.3,Underweight
53,Male,173,96,4,Vegan,32.08,Obese
46,Female,154,73,3,Veg,30.78,Obese
19,Male,180,80,4,Non-Veg,24.69,Normal
60,Male,154,64,3,Non-Veg,26.99,Overweight
27,Female,187,50,4,Vegan,14.3,Underweight
64,Female,195,56,2,Veg,14.73,Underweight
57,Female,167,104,3,Veg,37.29,Obese
54,Female,191,75,2,Veg,20.56,Normal
68,Male,163,84,1,Non-Veg,31.62,Obese
28,Male,150,90,1,Veg,40.0,Obese
43,Female,185,98,3,Veg,28.63,Overweight
18,Male,189,59,1,Vegan,16.52,Underweight
26,Male,158,118,4,Veg,47.27,Obese
43,Male,184,107,4,Veg,31.6,Obese
43,Male,187,46,3,Non-Veg,13.15,Underweight
44,Female,176,61,4,Vegan,19.69,Normal
61,Male,173,69,3,Non-Veg,23.05,Normal
41,Male,198,73,3,Vegan,18.62,Normal
39,Female,177,93,3,Veg,29.68,Overweight
37,Male,198,64,2,Non-Veg,16.32,Underweight
45,Male,189,93,3,Veg,26.04,Overweight
49,Male,179,95,3,Vegan,29.65,Overweight
49,Female,178,93,1,Veg,29.35,Overweight
47,Female,189,63,2,Veg,17.64,Underweight
31,Male,196,110,2,Veg,28.63,Overweight
67,Female,187,95,3,Veg,27.17,Overweight
25,Male,188,47,4,Non-Veg,13.3,Underweight
27,Male,195,78,4,Veg,20.51,Normal
40,Male,177,76,2,Vegan,24.26,Normal
46,Female,150,101,3,Vegan,44.89,Obese
41,Male,157,98,1,Vegan,39.76,Obese
54,Male,182,52,2,Vegan,15.7,Underweight
49,Female,163,76,4,Non-Veg,28.6,Overweight
60,Female,153,81,2,Veg,34.6,Obese
31,Male,197,51,2,Vegan,13.14,Underweight
50,Male,170,63,4,Veg,21.8,Normal
36,Female,178,104,2,Non-Veg,32.82,Obese
18,Male,154,64,3,Non-Veg,26.99,Overweight
19,Male,172,56,4,Veg,18.93,Normal
54,Female,179,53,2,Veg,16.54,Underweight
61,Male,171,68,1,Non-Veg,23.26,Normal
47,Female,195,58,1,Non-Veg,15.25,Underweight
62,Male,188,117,2,Non-Veg,33.1,Obese
60,Female,153,70,2,Veg,29.9,Overweight
62,Female,172,81,3,Non-Veg,27.38,Overweight
35,Female,170,86,4,Veg,29.76,Overweight
55,Female,166,81,1,Non-Veg,29.39,Overweight
29,Male,191,71,1,Vegan,19.46,Normal
23,Male,189,56,1,Veg,15.68,Underweight
24,Female,194,61,2,Veg,16.21,Underweight
45,Female,195,108,2,Non-Veg,28.4,Overweight
60,Male,185,70,1,Veg,20.45,Normal
28,Female,160,80,1,Vegan,31.25,Obese
56,Female,184,98,2,Vegan,28.95,Overweight
64,Female,171,113,4,Veg,38.64,Obese
53,Male,169,106,3,Veg,37.11,Obese
60,Female,158,70,2,Veg,28.04,Overweight
26,Male,189,61,1,Veg,17.08,Underweight
60,Female,191,69,3,Vegan,18.91,Normal
20,Female,186,88,3,Non-Veg,25.44,Overweight
55,Female,161,63,1,Vegan,24.3,Normal
66,Male,166,118,1,Vegan,42.82,Obese
66,Male,161,106,4,Vegan,40.89,Obese
25,Male,170,114,4,Veg,39.45,Obese
35,Male,161,59,3,Non-Veg,22.76,Normal
58,Male,175,91,4,Non-Veg,29.71,Overweight
33,Male,166,67,2,Veg,24.31,Normal
39,Female,156,58,3,Veg,23.83,Normal
24,Male,197,116,2,Vegan,29.89,Overweight
40,Male,167,83,3,Non-Veg,29.76,Overweight
59,Male,166,58,3,Vegan,21.05,Normal
61,Female,194,47,1,Vegan,12.49,Underweight
57,Female,172,83,3,Veg,28.06,Overweight
21,Male,171,69,1,Non-Veg,23.6,Normal
50,Female,194,86,4,Non-Veg,22.85,Normal
19,Male,184,86,2,Non-Veg,25.4,Overweight
30,Male,167,76,4,Vegan,27.25,Overweight
56,Female,178,106,1,Veg,33.46,Obese
61,Male,165,100,4,Vegan,36.73,Obese
27,Female,174,49,1,Non-Veg,16.18,Underweight
66,Male,194,58,4,Non-Veg,15.41,Underweight
67,Female,167,106,1,Veg,38.01,Obese
65,Male,195,117,3,Veg,30.77,Obese
41,Female,161,103,2,Veg,39.74,Obese
54,Male,155,83,4,Vegan,34.55,Obese
63,Female,160,106,1,Non-Veg,41.41,Obese
42,Male,153,103,4,Veg,44.0,Obese
68,Male,195,118,3,Non-Veg,31.03,Obese
43,Male,198,47,4,Non-Veg,11.99,Underweight
22,Male,196,93,1,Vegan,24.21,Normal
37,Female,198,105,3,Non-Veg,26.78,Overweight
52,Female,167,106,1,Vegan,38.01,Obese
49,Male,187,57,4,Veg,16.3,Underweight
64,Male,158,112,2,Veg,44.86,Obese
51,Male,190,100,3,Vegan,27.7,Overweight
45,Male,158,111,1,Non-Veg,44.46,Obese
29,Female,158,84,1,Veg,33.65,Obese
28,Male,183,82,4,Vegan,24.49,Normal
22,Female,175,62,2,Veg,20.24,Normal
65,Male,177,113,1,Veg,36.07,Obese
67,Female,194,106,1,Vegan,28.16,Overweight
20,Female,189,84,3,Veg,23.52,Normal
62,Male,155,63,4,Veg,26.22,Overweight
65,Male,162,89,1,Veg,33.91,Obese
59,Female,176,82,4,Vegan,26.47,Overweight
22,Male,194,102,1,Vegan,27.1,Overweight
48,Male,191,54,4,Vegan,14.8,Underweight
47,Male,180,46,2,Veg,14.2,Underweight
46,Female,188,110,4,Veg,31.12,Obese
63,Male,198,61,4,Vegan,15.56,Underweight
51,Female,173,79,4,Non-Veg,26.4,Overweight
36,Female,156,118,1,Non-Veg,48.49,Obese
45,Female,164,81,1,Non-Veg,30.12,Obese
21,Female,181,112,3,Veg,34.19,Obese
29,Female,166,54,2,Veg,19.6,Normal
39,Female,167,94,2,Vegan,33.71,Obese
46,Female,185,96,1,Vegan,28.05,Overweight
46,Male,182,50,3,Vegan,15.09,Underweight
49,Male,160,102,3,Non-Veg,39.84,Obese
51,Female,183,73,4,Veg,21.8,Normal
52,Male,190,83,3,Vegan,22.99,Normal
46,Male,160,76,2,Vegan,29.69,Overweight
31,Female,171,119,3,Vegan,40.7,Obese
34,Female,193,100,4,Veg,26.85,Overweight
38,Male,165,103,4,Non-Veg,37.83,Obese
36,Male,154,47,3,Veg,19.82,Normal
55,Male,183,105,3,Veg,31.35,Obese
42,Female,161,62,3,Vegan,23.92,Normal
25,Female,195,61,1,Veg,16.04,Underweight
25,Male,176,90,2,Vegan,29.05,Overweight
20,Male,193,97,4,Non-Veg,26.04,Overweight
20,Female,195,59,1,Non-Veg,15.52,Underweight
31,Male,166,53,2,Veg,19.23,Normal
39,Female,151,116,3,Veg,50.87,Obese
34,Female,170,62,2,Non-Veg,21.45,Normal
63,Male,180,82,4,Vegan,25.31,Overweight
62,Male,182,85,4,Vegan,25.66,Overweight
39,Male,173,85,1,Veg,28.4,Overweight
63,Female,164,98,2,Veg,36.44,Obese
27,Female,181,46,1,Veg,14.04,Underweight
58,Male,179,77,1,Non-Veg,24.03,Normal
39,Male,151,82,3,Non-Veg,35.96,Obese
63,Female,199,59,2,Non-Veg,14.9,Underweight
61,Male,189,119,1,Vegan,33.31,Obese
23,Male,155,117,3,Vegan,48.7,Obese
49,Male,199,52,4,Non-Veg,13.13,Underweight
45,Female,169,106,3,Vegan,37.11,Obese
24,Male,169,48,2,Non-Veg,16.81,Underweight
39,Female,152,85,4,Non-Veg,36.79,Obese
31,Male,167,56,3,Veg,20.08,Normal
42,Male,168,99,2,Veg,35.08,Obese
25,Male,181,95,4,Non-Veg,29.0,Overweight
23,Female,168,66,1,Veg,23.38,Normal
20,Female,159,79,1,Veg,31.25,Obese
32,Male,156,93,2,Veg,38.21,Obese
48,Female,173,64,1,Non-Veg,21.38,Normal
37,Female,173,94,1,Vegan,31.41,Obese
49,Male,185,110,3,Non-Veg,32.14,Obese
53,Female,188,86,3,Vegan,24.33,Normal
29,Male,194,62,4,Veg,16.47,Underweight
32,Male,184,70,4,Non-Veg,20.68,Normal
40,Female,193,58,2,Non-Veg,15.57,Underweight
54,Male,187,85,2,Non-Veg,24.31,Normal
64,Female,188,46,3,Non-Veg,13.01,Underweight
34,Male,174,72,2,Vegan,23.78,Normal
54,Male,150,84,4,Veg,37.33,Obese
40,Male,180,55,2,Vegan,16.98,Underweight
31,Female,159,54,4,Non-Veg,21.36,Normal
58,Male,154,64,4,Vegan,26.99,Overweight
29,Male,169,72,1,Vegan,25.21,Overweight
54,Male,186,81,1,Veg,23.41,Normal
61,Female,177,50,4,Vegan,15.96,Underweight
37,Female,163,46,1,Vegan,17.31,Underweight
54,Female,175,73,1,Vegan,23.84,Normal
52,Female,186,103,1,Veg,29.77,Overweight
66,Male,163,56,2,Veg,21.08,Normal
67,Female,192,94,1,Veg,25.5,Overweight
56,Male,196,87,2,Vegan,22.65,Normal
61,Female,169,67,4,Non-Veg,23.46,Normal
62,Female,165,94,2,Vegan,34.53,Obese
25,Female,170,45,3,Veg,15.57,Underweight
49,Female,154,91,2,Veg,38.37,Obese
43,Male,159,74,2,Non-Veg,29.27,Overweight
34,Female,157,91,4,Veg,36.92,Obese
29,Male,157,90,4,Veg,36.51,Obese
18,Male,180,58,1,Veg,17.9,Underweight
58,Female,177,110,2,Non-Veg,35.11,Obese
26,Male,190,92,1,Veg,25.48,Overweight
30,Male,190,119,4,Non-Veg,32.96,Obese
55,Female,153,63,2,Non-Veg,26.91,Overweight
35,Male,190,67,3,Veg,18.56,Normal
28,Male,173,98,3,Veg,32.74,Obese
38,Male,150,115,3,Veg,51.11,Obese
36,Female,178,77,1,Veg,24.3,Normal
52,Female,187,55,3,Non-Veg,15.73,Underweight
31,Female,151,90,1,Vegan,39.47,Obese
38,Female,157,92,2,Non-Veg,37.32,Obese
45,Male,178,70,1,Veg,22.09,Normal
51,Female,186,88,4,Vegan,25.44,Overweight
60,Female,172,114,2,Non-Veg,38.53,Obese
61,Male,192,65,3,Vegan,17.63,Underweight
33,Male,164,69,4,Vegan,25.65,Overweight
68,Male,153,65,1,Non-Veg,27.77,Overweight
36,Female,163,112,4,Veg,42.15,Obese
69,Female,176,73,3,Vegan,23.57,Normal
25,Female,191,80,2,Non-Veg,21.93,Normal
19,Male,162,48,2,Veg,18.29,Underweight
47,Male,156,118,3,Veg,48.49,Obese
48,Male,198,86,1,Non-Veg,21.94,Normal
53,Female,153,51,2,Veg,21.79,Normal
61,Female,194,91,3,Veg,24.18,Normal
39,Female,170,53,2,Veg,18.34,Underweight
32,Female,173,86,4,Veg,28.73,Overweight
43,Male,186,112,2,Vegan,32.37,Obese
53,Female,188,118,1,Non-Veg,33.39,Obese
36,Female,159,99,2,Veg,39.16,Obese
64,Male,184,77,3,Veg,22.74,Normal
34,Female,197,81,3,Vegan,20.87,Normal
45,Male,181,55,2,Veg,16.79,Underweight
31,Male,174,46,4,Vegan,15.19,Underweight
24,Male,167,111,2,Non-Veg,39.8,Obese
56,Male,198,119,3,Non-Veg,30.35,Obese
36,Female,175,86,4,Vegan,28.08,Overweight
62,Female,185,80,3,Veg,23.37,Normal
25,Male,155,85,3,Veg,35.38,Obese
66,Female,151,104,1,Vegan,45.61,Obese
49,Male,157,116,2,Vegan,47.06,Obese
61,Male,152,114,2,Vegan,49.34,Obese
61,Female,187,79,2,Vegan,22.59,Normal
47,Female,157,66,4,Non-Veg,26.78,Overweight
53,Male,162,75,3,Veg,28.58,Overweight
33,Female,179,99,4,Veg,30.9,Obese
33,Female,157,47,4,Non-Veg,19.07,Normal
62,Male,177,49,4,Veg,15.64,Underweight
47,Male,169,114,2,Non-Veg,39.91,Obese
25,Male,181,77,1,Non-Veg,23.5,Normal
69,Female,163,80,1,Vegan,30.11,Obese
67,Male,151,46,3,Veg,20.17,Normal
26,Male,160,111,4,Non-Veg,43.36,Obese
40,Female,153,99,2,Vegan,42.29,Obese
39,Male,164,104,1,Non-Veg,38.67,Obese
29,Male,198,86,2,Non-Veg,21.94,Normal
62,Male,179,74,2,Non-Veg,23.1,Normal
20,Female,156,96,2,Veg,39.45,Obese
32,Male,184,110,3,Non-Veg,32.49,Obese
52,Female,163,64,2,Non-Veg,24.09,Normal
42,Female,174,98,1,Vegan,32.37,Obese
31,Male,195,98,2,Veg,25.77,Overweight
69,Male,184,85,2,Veg,25.11,Overweight
30,Male,183,52,1,Non-Veg,15.53,Underweight
21,Male,164,112,1,Veg,41.64,Obese
48,Female,169,62,1,Vegan,21.71,Normal
23,Female,178,87,2,Non-Veg,27.46,Overweight
40,Male,180,49,3,Non-Veg,15.12,Underweight
27,Male,151,55,2,Veg,24.12,Normal
48,Female,164,117,3,Vegan,43.5,Obese
26,Male,170,117,4,Non-Veg,40.48,Obese
63,Male,156,60,4,Veg,24.65,Normal
21,Female,188,84,1,Veg,23.77,Normal
56,Female,178,96,4,Non-Veg,30.3,Obese
56,Female,186,107,2,Veg,30.93,Obese
52,Male,176,58,3,Veg,18.72,Normal
39,Male,151,106,3,Veg,46.49,Obese
55,Male,170,54,3,Non-Veg,18.69,Normal
56,Male,150,57,1,Non-Veg,25.33,Overweight
67,Male,170,97,2,Veg,33.56,Obese
62,Female,185,104,3,Vegan,30.39,Obese
38,Female,175,112,2,Non-Veg,36.57,Obese
57,Male,190,96,1,Non-Veg,26.59,Overweight
59,Male,191,57,1,Veg,15.62,Underweight
34,Female,158,85,1,Non-Veg,34.05,Obese
65,Male,182,54,2,Non-Veg,16.3,Underweight
57,Male,177,119,3,Non-Veg,37.98,Obese
25,Male,171,116,1,Vegan,39.67,Obese
34,Female,172,89,3,Veg,30.08,Obese
49,Female,150,52,1,Veg,23.11,Normal
40,Male,150,95,4,Vegan,42.22,Obese
41,Male,154,64,1,Non-Veg,26.99,Overweight
48,Female,185,55,4,Vegan,16.07,Underweight
36,Male,177,95,3,Non-Veg,30.32,Obese
22,Male,179,52,4,Non-Veg,16.23,Underweight
55,Male,181,52,4,Veg,15.87,Underweight
26,Female,164,94,3,Veg,34.95,Obese
53,Female,153,85,1,Non-Veg,36.31,Obese
67,Female,170,80,4,Vegan,27.68,Overweight
57,Female,162,97,4,Vegan,36.96,Obese
33,Female,181,55,2,Vegan,16.79,Underweight
34,Female,167,99,1,Veg,35.5,Obese
57,Male,163,66,4,Non-Veg,24.84,Normal
37,Male,193,76,3,Non-Veg,20.4,Normal
66,Female,170,76,2,Vegan,26.3,Overweight
56,Male,161,91,2,Veg,35.11,Obese
30,Female,170,52,2,Non-Veg,17.99,Underweight
24,Male,193,119,4,Non-Veg,31.95,Obese
39,Male,174,66,4,Veg,21.8,Normal
30,Female,151,73,1,Vegan,32.02,Obese
69,Male,199,67,4,Veg,16.92,Underweight
39,Male,186,105,1,Vegan,30.35,Obese
36,Male,178,74,3,Vegan,23.36,Normal
42,Female,186,52,2,Non-Veg,15.03,Underweight
33,Female,150,49,3,Veg,21.78,Normal
21,Female,184,108,2,Non-Veg,31.9,Obese
60,Male,159,65,4,Non-Veg,25.71,Overweight
56,Male,176,110,1,Veg,35.51,Obese
26,Female,185,102,2,Veg,29.8,Overweight
31,Female,183,97,1,Vegan,28.96,Overweight
33,Male,180,114,4,Vegan,35.19,Obese
54,Female,153,48,4,Non-Veg,20.5,Normal
41,Female,184,70,1,Non-Veg,20.68,Normal
38,Female,189,65,2,Non-Veg,18.2,Underweight
63,Female,194,64,1,Vegan,17.0,Underweight
24,Female,178,58,3,Veg,18.31,Underweight
33,Female,153,68,2,Non-Veg,29.05,Overweight
35,Male,180,104,4,Vegan,32.1,Obese
66,Male,195,66,4,Veg,17.36,Underweight
29,Female,187,75,4,Vegan,21.45,Normal
65,Male,185,99,1,Vegan,28.93,Overweight
50,Female,198,91,3,Veg,23.21,Normal
62,Male,166,114,4,Vegan,41.37,Obese
44,Male,155,91,2,Vegan,37.88,Obese
56,Male,175,60,1,Veg,19.59,Normal
69,Male,159,94,3,Veg,37.18,Obese
60,Male,179,114,1,Vegan,35.58,Obese
62,Male,168,86,3,Non-Veg,30.47,Obese
43,Male,154,108,1,Veg,45.54,Obese
38,Female,154,114,2,Non-Veg,48.07,Obese
56,Male,199,79,1,Veg,19.95,Normal
53,Female,190,98,2,Veg,27.15,Overweight
48,Female,173,80,1,Non-Veg,26.73,Overweight
41,Female,191,74,2,Vegan,20.28,Normal
52,Male,177,58,4,Non-Veg,18.51,Normal
33,Female,180,114,4,Veg,35.19,Obese
62,Female,192,101,1,Non-Veg,27.4,Overweight
50,Male,156,114,3,Vegan,46.84,Obese
35,Female,160,64,4,Vegan,25.0,Normal
65,Male,170,86,2,Non-Veg,29.76,Overweight
54,Female,170,113,3,Vegan,39.1,Obese
43,Male,173,93,3,Vegan,31.07,Obese
42,Male,161,105,1,Veg,40.51,Obese
67,Male,153,115,2,Vegan,49.13,Obese
50,Male,173,105,1,Non-Veg,35.08,Obese
45,Female,192,85,3,Non-Veg,23.06,Normal
66,Male,183,114,2,Non-Veg,34.04,Obese
51,Male,159,49,2,Non-Veg,19.38,Normal
65,Male,151,118,2,Vegan,51.75,Obese
56,Female,161,84,2,Vegan,32.41,Obese
27,Male,198,108,4,Vegan,27.55,Overweight
38,Female,175,112,2,Non-Veg,36.57,Obese
32,Female,189,58,3,Veg,16.24,Underweight
58,Female,177,70,1,Vegan,22.34,Normal
19,Male,152,116,4,Veg,50.21,Obese
59,Female,184,50,3,Vegan,14.77,Underweight
42,Male,199,87,3,Veg,21.97,Normal
68,Male,161,118,4,Veg,45.52,Obese
53,Male,170,116,3,Veg,40.14,Obese
64,Male,197,86,4,Non-Veg,22.16,Normal
29,Female,156,47,1,Vegan,19.31,Normal
44,Female,192,84,2,Veg,22.79,Normal
45,Male,157,76,4,Vegan,30.83,Obese
